SHLAA Ref,Address,Area ha,_something_,Capacity,I&O RAG,Settlement Hierarchy,Green/Brown,Reason,Easting,Northing
2007,Wharf Street,0,"",14,G,City Centre Infill,Brownfield,Previous permission for residential flats scheme.  Site suitable and available.,430532,433356
215,Clarence Road (79)  LS10 1LW,0.2,"",15,AV,City Centre Infill,Brownfield,"",431076,432668
217,Black Bull Street - Yorkshire Chemicals Plc - The Works,3.3,"",53,AV,City Centre Infill,Brownfield,"",430678,432783
219,Clarence Road - former Hydro Works,3,"",289,AV,City Centre Infill,Brownfield,"",431176,432553
228,Hunslet Road - Reg Vardy plc  LS10 1LD,2.4,"",191,AV,City Centre Infill,Brownfield,"",430750,432626
301,"Upper Accommodation Road, LS9",0.4,"",10,AV,City Centre Infill,Brownfield,"",431458,433301
1125,Hunslet Road - Braime Pressings  LS10,2.3,"",121,AV,City Centre Infill,Brownfield,"",430838,432482
1230,"Saxton Lane - Yorkshire Ambulance Service NHS Trust, Ambulance Station, LS9 8HE",0.6,"",80,AV,City Centre Infill,Brownfield,"",431051,433344
2000,Marsh Lane Goods Yard,3.8,"",289,AV,City Centre Infill,Brownfield,"",431240,433518
2009,"Black Bull Street, Carlsberg UK LTD Brewery LS1 1QG",11,"",730,AV,City Centre Infill,Brownfield,"",430449,432923
2010,New Lane - Hindle Valves,3.2,"",95,AV,City Centre Infill,Brownfield,"",430006,432789
2022,Clarence Road,1.4,"",114,AV,City Centre Infill,Brownfield,"",430985,432657
396,Call Lane - The Chandlers  LS2,0.1,"",7,LG,City Centre Infill,Brownfield,Land area not available for 7 further dwellings.,430700,433216
403,New Station Street (18-24) LS1,0,"",6,G,City Centre Infill,Brownfield,Recent implementation of bar scheme renders residential development highly unlikely.,430056,433300
425,Albion Place - Leeds Club,0.1,"",9,A,City Centre Infill,Brownfield,Not available for residential or office development.  Building in full use as a hospitality venue.,430111,433623
455,Wellington Street - Lumiere,0.5,"",838,LG,City Centre Infill,Brownfield,Site under construction as non-residential office scheme.,429567,433392
459,Eastgate/Harewood Quarter  LS2,6.8,"",450,LG,City Centre Infill,Brownfield,Phase 1 south of Eastgate under construction with no residential or office content.  Phase 2 north of Eastgate likely to follow suit.,430556,433759
462,Call Lane 52,0,"",14,G,City Centre Infill,Brownfield,Ground floor now established as a night club.  Availabilty and suitability questionable.,430296,433273
1020,Clarendon Road (rear of 39)/ Kendal Lane Leeds LS2,0,"",2,R,City Centre Infill,Brownfield,Not suitable. Applications for dwellings have been refused planning permission.,429113,434141
1140,"Pontefract Lane (land west of), Richmond Hill  LS9",2.2,"",132,A,Main Urban Area Infill,Brownfield,"",431556,433470
1267,Kidacre Street - former gas works site,4.3,"",200,A,City Centre Infill,Brownfield,Site currently blighted by HS2,430204,432408
2002,Marsh Lane/York Street - Co-op Funeral Services & St Annes Shelter,1.1,"",100,A,City Centre Infill,Brownfield,Premises occupied.  Site not available.,430901,433436
2005,Trafalgar Street,0.4,"",137,R,City Centre Infill,Brownfield,Site thriving as multi-storey car park therefore not available.,430589,433972
2012,Meadow Lane frontage - Apex Business Park,3.4,"",298,A,City Centre Infill,Brownfield,Site currently blighted by HS2,430163,432262
2013,"Pottery Fields, Kidacre Street",1.4,"",30,A,City Centre Infill,Brownfield,Site currently blighted by HS2,430338,432202
2014,"Kidacre Street, Motorcycle Training Area",0.8,"",50,A,City Centre Infill,Brownfield,Site currently blighted by HS2,430254,432365
2024,Kirkstall Road Car Park,0.7,"",233,A,City Centre Infill,Brownfield,Office and greenspace preferred on surface car park site in busy road junction.,429020,433621
2028B,Great George Street - LGI,7.1,"",623,R,City Centre Infill,Brownfield,"These parts of the LGI are likely to be retained in hospital use, so will not be available for development.",429482,434132
5011,"St Alban's Place, Leeds City Centre",0.6,"",202,NonIO,City Centre Infill,Brownfield,Land not available for scheme.,430338,434006
224,Saxton Lane - Alton Cars  LS9 8HE,0.5,"",146,AV,City Centre Infill,Brownfield,"",431041,433441
1039,Clarence Road - Airedale Mills  LS10 1ND,1.3,"",74,AV,Main Urban Area Infill,Brownfield,"",431276,432472
2003,Mill Street - Dransfields Amusement Centre,0.8,"",241,AV,City Centre Infill,Brownfield,"",431022,433259
2011,"ASDA Group Limited, Asda House, Southbank, Great Wilson St  LS11 5AD",3,"",785,AV,City Centre Infill,Brownfield,"",430104,432958
281,Manston Lane - Radial Park (Ph 1),4,"",148,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,436990,434625
282,Manston Lane,6.3,"",192,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,437201,434878
353,"Barrowby Lane (30-34), Austhorpe LS15 8QE",0.4,"",11,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,437763,433588
795,Red Hall Lane LS17,14.9,"",300,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,434546,438507
796,York Road - Grime's Dyke  LS14,17.2,"",372,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,436311,437258
797,East Leeds Extension,204.5,"",3771,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,436898,436873
799,Whinmoor Way - PFI C  LS14,4.8,"",115,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,436884,436198
802,Swarcliffe Avenue - PFI E  LS14,0.5,"",25,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,436789,436389
803,Elmete Towers - PFI Q  LS14,0.7,"",30,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,436452,435790
804,Mill Green Garth - PFI L1  LS14,1.1,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,436052,435990
807,Red Hall Lane - Strikes  LS17,0.8,"",20,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,434885,438358
2040,"Bullerthorpe Lane (Temple Point), Colton",2.6,"",17,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,437704,432725
2144A,"Cartmell Drive, Halton Moor",1.6,"",31,A,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,433909,433005
2154,Seacroft Hospital (rear of),18,"",720,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted.,435111,434343
3219,"Ash Tree Grove, (PFI F) LS14",0.3,"",13,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,436848,436083
3227,"Naburn Approach, LS14",0.4,"",4,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,435965,437932
4191,"Land At Brooksbank Drive, Halton",0.2,"",6,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,435060,433541
5124,Pepper Road LS10,0.3,"",2,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,431605,430604
5140,FARNDALE VIEW (PFI K) LS14,0.2,"",10,NonIO,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,436555,436486
267,Killingbeck Bridge - Wykebridge Depot  LS14,0.6,"",23,G,Main Urban Area Infill,Brownfield,A cleared and vacant brownfield site in the Main Urban Area.  Planning application pending (submitted July 2014).,434233,434154
1295B,"M1 (land to the east of) , LS9",28.5,"",747,G,Main Urban Area Extension,Greenfield,"Green Belt site on edge of the Main Urban Area.  Development of the site would represent a rounding off to the urban area (subject to development of site 1295A being developed for residential; see AVL AAP).  The canal to the south and neighbouring sites to the east and west would ensure a low risk of future unrestricted sprawl.  The site would need to share services, such as a primary school, health and local shopping with 1295A and would not be sustainable as a stand alone site.  The site adjoins sensitive natural habitats along the River Aire corridor and includes areas of mature woodland, which would require mitigation. The site is also located on a plateau which has been formed by deposited materials and will necessitate ground investigations.",435472,430461
1297,"Manston Lane - former Vickers Tank Factory Site,  Cross Gates",21.5,"",450,G,Main Urban Area Infill,Brownfield,Brownfield site in the Main Urban Area (site of Former Vickers Factory). Developer interest expressed through planning application for residential use with associated community facilities and ancillary uses (pending decision subject to prior extraction of coal and the implementation of the Manston Lane Link Road).,437469,434558
1359,Wood Lane - Rothwell Garden Centre LS26,3.2,"",31,G,Major Settlement Extension,Mix 50:50,"Green Belt site on the edge of a Major Settlement (Rothwell). Mixed brown and greenfield site. The site relates well to the settlement being essentially an infill site between existing development and would not set a precedent for sprawl.  Only part of the site is in East, with the rest in the Outer South area (split East/OS 31/52).",433091,429190
2062,Red Hall Offices & Playing Field  LS17,14.3,"",50,G,Main Urban Area Infill,Greenfield,"Majority of site is a UDP employment allocation (key business park) with a small part along the northern boundary being Green Belt.  It is now contrary to national and local policy to locate offices away from city and town centres and so it is more appropriate to identify Red Hall as suitable for housing (incorporating on site greenspace provision) than for any other use.  The identification of the site as suitable for an allocation is consistent with the long-standing planning principle for its development stretching back 23 years.Executive Board in September 2013 agreed an outline development brief for Red Hall with key development principles, as part of the relocation strategy for the horticultural nursery (also encompasses site 795).  This includes routing of ELOR around its northern edge and retention of at least two playing pitches within the site.  The central Red Hall buildings are in the ownership of the RFL, and any development will have to respect their listed building status.  The existing pitches have protection under Sport England policies and through the UDP Policy E4:11 requirement for their replacement in development of the site, but they are not allocated greenspace.  The wider Red Hall site will be the subject of a detailed planning brief and subject to the provision of the section of the East Leeds Orbital Route which would run through the site.",434853,438589
